unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
καρδία,kardia,καρδία,noun fem nom sg,heart,ἡ καρδία πάλλεται,Cardiac organ,560,Homer.Il Hippocrates
πνεύμων,pneumōn,πνεύμων,noun masc nom sg,lung,ὁ πνεύμων ἀναπνεῖ,Respiratory organ,280,Hippocrates Aristotle
ἧπαρ,hēpar,ἧπαρ,noun neut nom sg,liver,τὸ ἧπαρ μέγα,Digestive organ,320,Homer.Il Hippocrates
σπλήν,splēn,σπλήν,noun masc nom sg,spleen,ὁ σπλὴν μέλας,Abdominal organ,180,Hippocrates Aristotle
νεφρός,nephros,νεφρός,noun masc nom sg,kidney,ὁ νεφρὸς καθαίρει,Renal organ,240,Hippocrates Aristotle
γαστήρ,gastēr,γαστήρ,noun fem nom sg,belly/stomach,ἡ γαστὴρ πέττει,Digestive cavity,480,Homer.Il Hippocrates
σκέλος,skelos,σκέλος,noun neut nom sg,leg,τὸ σκέλος βαδίζει,Lower limb,420,Homer.Il Hippocrates
ποῦς,pous,ποῦς,noun masc nom sg,foot,ὁ ποῦς βαίνει,Walking extremity,720,Homer.Il Hippocrates
αἷμα,haima,αἷμα,noun neut nom sg,blood,τὸ αἷμα ῥεῖ,Life fluid,620,Homer.Il Hippocrates
τεχνίτης,technitēs,τεχνίτης,noun masc nom sg,craftsman,ὁ τεχνίτης σοφός,Skilled artisan,420,Plato Xenophon
δημιουργός,dēmiourgos,δημιουργός,noun masc nom sg,public worker/artisan,ὁ δημιουργὸς ἐργάζεται,Public craftsman,380,Homer.Il Plato
χαλκεύς,chalkeus,χαλκεύς,noun masc nom sg,smith/metalworker,ὁ χαλκεὺς τύπτει,Metal craftsman,320,Homer.Il Herodotus
τέκτων,tektōn,τέκτων,noun masc nom sg,carpenter/builder,ὁ τέκτων οἰκοδομεῖ,Wood worker,380,Homer.Il Plato
κεραμεύς,kerameus,κεραμεύς,noun masc nom sg,potter,ὁ κεραμεὺς πλάττει,Clay worker,240,Herodotus Aristophanes
σκυτεύς,skyteus,σκυτεύς,noun masc nom sg,cobbler,ὁ σκυτεὺς ῥάπτει,Leather worker,180,Aristophanes Plato
οἰκοδόμος,oikodomos,οἰκοδόμος,noun masc nom sg,builder,ὁ οἰκοδόμος οἰκοδομεῖ,Construction worker,280,Thucydides Xenophon
γεωργός,geōrgos,γεωργός,noun masc nom sg,farmer,ὁ γεωργὸς σπείρει,Agricultural worker,520,Xenophon Aristophanes
βοτήρ,botēr,βοτήρ,noun masc nom sg,herder,ὁ βοτὴρ νέμει,Livestock tender,280,Homer.Il Theocritus
ἁλιεύς,halieus,ἁλιεύς,noun masc nom sg,fisherman,ὁ ἁλιεὺς ἁγρεύει,Marine hunter,240,Homer.Il Aristophanes
κυβερνήτης,kybernētēs,κυβερνήτης,noun masc nom sg,pilot/helmsman,ὁ κυβερνήτης κυβερνᾷ,Ship navigator,320,Homer.Od Plato
ναύτης,nautēs,ναύτης,noun masc nom sg,sailor,ὁ ναύτης πλεῖ,Ship crew member,420,Homer.Od Herodotus
ἔμπορος,emporos,ἔμπορος,noun masc nom sg,merchant,ὁ ἔμπορος πωλεῖ,Trade professional,480,Herodotus Plato
κάπηλος,kapēlos,κάπηλος,noun masc nom sg,retailer,ὁ κάπηλος μετρεῖ,Small trader,240,Aristophanes Plato
ἰατρός,iatros,ἰατρός,noun masc nom sg,physician,ὁ ἰατρὸς θεραπεύει,Medical professional,560,Homer.Il Hippocrates
φάρμακον,pharmakon,φάρμακον,noun neut nom sg,medicine/drug,τὸ φάρμακον ἰᾶται,Therapeutic substance,420,Homer.Il Hippocrates
μαῖα,maia,μαῖα,noun fem nom sg,midwife,ἡ μαῖα τίκτει,Birth attendant,180,Plato Aristophanes
διδάσκαλος,didaskalos,διδάσκαλος,noun masc nom sg,teacher,ὁ διδάσκαλος διδάσκει,Educational professional,520,Plato Aristophanes
παιδαγωγός,paidagōgos,παιδαγωγός,noun masc nom sg,tutor/guide,ὁ παιδαγωγὸς ἄγει,Child supervisor,320,Plato Aristophanes
ῥήτωρ,rhētōr,ῥήτωρ,noun masc nom sg,orator,ὁ ῥήτωρ λέγει,Public speaker,480,Thucydides Plato
κριτής,kritēs,κριτής,noun masc nom sg,judge,ὁ κριτὴς κρίνει,Legal arbiter,420,Herodotus Aristophanes
δικαστής,dikastēs,δικαστής,noun masc nom sg,juror,ὁ δικαστὴς ψηφίζει,Court member,380,Aristophanes Thucydides
συκοφάντης,sykophantēs,συκοφάντης,noun masc nom sg,informer,ὁ συκοφάντης κατηγορεῖ,Legal accuser,280,Aristophanes Plato
μουσική,mousikē,μουσική,noun fem nom sg,music/art,ἡ μουσικὴ τέρπει,Creative art,620,Plato Aristotle
ᾠδή,ōidē,ᾠδή,noun fem nom sg,song,ἡ ᾠδὴ μελῳδεῖ,Musical composition,480,Homer.Il Pindar
μέλος,melos,μέλος,noun neut nom sg,melody,τὸ μέλος ἡδύ,Musical tune,420,Pindar Aristophanes
ῥυθμός,rhythmos,ῥυθμός,noun masc nom sg,rhythm,ὁ ῥυθμὸς κινεῖ,Musical meter,380,Plato Aristotle
ἁρμονία,harmonia,ἁρμονία,noun fem nom sg,harmony,ἡ ἁρμονία συμφωνεῖ,Musical concord,420,Plato Aristotle
λύρα,lyra,λύρα,noun fem nom sg,lyre,ἡ λύρα ψάλλει,Stringed instrument,360,Homer.Il Pindar
αὐλός,aulos,αὐλός,noun masc nom sg,flute/pipe,ὁ αὐλὸς φυσᾶται,Wind instrument,320,Homer.Il Aristophanes
κίθαρα,kithara,κίθαρα,noun fem nom sg,cithara,ἡ κίθαρα κρούεται,Large lyre,280,Pindar Aristophanes
χορός,choros,χορός,noun masc nom sg,chorus/dance,ὁ χορὸς ᾄδει,Group performance,580,Homer.Il Aristophanes
χορεία,choreia,χορεία,noun fem nom sg,choral dance,ἡ χορεία κινεῖται,Dance performance,340,Plato Aristophanes
ὄρχησις,orchēsis,ὄρχησις,noun fem nom sg,dancing,ἡ ὄρχησις καλή,Rhythmic movement,280,Plato Xenophon
μίμησις,mimēsis,μίμησις,noun fem nom sg,imitation,ἡ μίμησις ἀληθής,Artistic representation,340,Plato Aristotle
ποίησις,poiēsis,ποίησις,noun fem nom sg,poetry/creation,ἡ ποίησις καλή,Creative making,480,Plato Aristotle
ἔπος,epos,ἔπος,noun neut nom sg,epic word,τὸ ἔπος μέγα,Heroic verse,420,Homer.Il Aristotle
ἴαμβος,iambos,ἴαμβος,noun masc nom sg,iamb,ὁ ἴαμβος κωμῳδεῖ,Satirical verse,240,Aristotle Archilochus
ἐλεγεῖον,elegeion,ἐλεγεῖον,noun neut nom sg,elegiac couplet,τὸ ἐλεγεῖον θρηνεῖ,Mournful verse,180,Aristotle
τραγῳδία,tragōidia,τραγῳδία,noun fem nom sg,tragedy,ἡ τραγῳδία σπουδαία,Serious drama,420,Aristotle Aeschylus
κωμῳδία,kōmōidia,κωμῳδία,noun fem nom sg,comedy,ἡ κωμῳδία γελοία,Humorous drama,380,Aristotle Aristophanes
δρᾶμα,drama,δρᾶμα,noun neut nom sg,drama/action,τὸ δρᾶμα κινεῖται,Theatrical action,340,Aristotle Aeschylus
ὑποκριτής,hypokritēs,ὑποκριτής,noun masc nom sg,actor,ὁ ὑποκριτὴς παίζει,Theatrical performer,320,Aristotle Demosthenes
σκηνή,skēnē,σκηνή,noun fem nom sg,stage/tent,ἡ σκηνὴ καλή,Performance space,380,Aristophanes Aeschylus
θέατρον,theatron,θέατρον,noun neut nom sg,theater,τὸ θέατρον μέγα,Viewing place,420,Aristophanes Plato
κωμάστης,komastēs,κωμάστης,noun masc nom sg,reveler,ὁ κωμάστης γελᾷ,Festive participant,180,Aristophanes
ἀριθμός,arithmos,ἀριθμός,noun masc nom sg,number,ὁ ἀριθμὸς μετρεῖ,Mathematical unit,520,Plato Euclid
μονάς,monas,μονάς,noun fem nom sg,unit/monad,ἡ μονὰς ἁπλῆ,Single element,280,Plato Euclid
δυάς,dyas,δυάς,noun fem nom sg,dyad/pair,ἡ δυὰς διπλῆ,Two-element unit,180,Plato Euclid
τριάς,trias,τριάς,noun fem nom sg,triad,ἡ τριὰς τριπλῆ,Three-element unit,160,Plato
τετράς,tetras,τετράς,noun fem nom sg,tetrad,ἡ τετρὰς τετραπλῆ,Four-element unit,140,Plato
γεωμετρία,geōmetria,γεωμετρία,noun fem nom sg,geometry,ἡ γεωμετρία μετρεῖ,Earth measurement,320,Plato Euclid
γραμμή,grammē,γραμμή,noun fem nom sg,line,ἡ γραμμὴ εὐθεῖα,Linear measure,380,Euclid Aristotle
σημεῖον,sēmeion,σημεῖον,noun neut nom sg,point,τὸ σημεῖον μικρόν,Geometric position,340,Euclid Aristotle
κύκλος,kyklos,κύκλος,noun masc nom sg,circle,ὁ κύκλος στρογγύλος,Round figure,420,Euclid Plato
τρίγωνον,trigōnon,τρίγωνον,noun neut nom sg,triangle,τὸ τρίγωνον τρίγωνον,Three-sided figure,240,Euclid
τετράγωνον,tetragōnon,τετράγωνον,noun neut nom sg,square,τὸ τετράγωνον ἴσον,Four-sided figure,220,Euclid
κύβος,kybos,κύβος,noun masc nom sg,cube,ὁ κύβος στερεός,Six-faced solid,180,Euclid Plato
σφαῖρα,sphaira,σφαῖρα,noun fem nom sg,sphere/ball,ἡ σφαῖρα στρογγύλη,Round solid,280,Euclid Aristotle
διάμετρος,diametros,διάμετρος,noun fem nom sg,diameter,ἡ διάμετρος μακρά,Circle measure,180,Euclid
περίμετρος,perimetros,περίμετros,noun fem nom sg,perimeter,ἡ περίμετρος κυκλεῖ,Boundary measure,120,Euclid
ἀστρονομία,astronomia,ἀστρονομία,noun fem nom sg,astronomy,ἡ ἀστρονομία σκοπεῖ,Star study,240,Plato Aristotle
ἀστήρ,astēr,ἀστήρ,noun masc nom sg,star,ὁ ἀστὴρ λάμπει,Celestial body,420,Homer.Il Aristotle
πλανήτης,planētēs,πλανήτης,noun masc nom sg,planet,ὁ πλανήτης κινεῖται,Wandering star,160,Aristotle
κόσμος,kosmos,κόσμος,noun masc nom sg,universe/order,ὁ κόσμος καλός,Ordered whole,580,Heraclitus Plato
οὐρανός,ouranos,οὐρανός,noun masc nom sg,heaven/sky,ὁ οὐρανὸς ὑψηλός,Celestial sphere,620,Homer.Il Aristotle
φύσις,physis,φύσις,noun fem nom sg,nature,ἡ φύσις γεννᾷ,Natural essence,720,Heraclitus Aristotle
στοιχεῖον,stoicheion,στοιχεῖον,noun neut nom sg,element,τὸ στοιχεῖον ἁπλοῦν,Basic component,280,Plato Aristotle
ὕλη,hylē,ὕλη,noun fem nom sg,matter/material,ἡ ὕλη παθητική,Substrate substance,380,Aristotle
δημοκρατία,dēmokratia,δημοκρατία,noun fem nom sg,democracy,ἡ δημοκρατία ἐλευθέρα,People's rule,320,Herodotus Thucydides
ἀριστοκρατία,aristokratia,ἀριστοκρατία,noun fem nom sg,aristocracy,ἡ ἀριστοκρατία καλή,Rule of best,240,Plato Aristotle
τυραννίς,tyrannis,τυραννίς,noun fem nom sg,tyranny,ἡ τυραννὶς κακή,Autocratic rule,380,Herodotus Plato
μοναρχία,monarchia,μοναρχία,noun fem nom sg,monarchy,ἡ μοναρχία μία,Single rule,180,Aristotle
πολίτης,politēs,πολίτης,noun masc nom sg,citizen,ὁ πολίτης μετέχει,City member,520,Thucydides Plato
ἄρχων,archōn,ἄρχων,noun masc nom sg,ruler/magistrate,ὁ ἄρχων ἄρχει,Government official,480,Herodotus Aristotle
δικαστήριον,dikastērion,δικαστήριον,noun neut nom sg,law court,τὸ δικαστήριον κρίνει,Judicial venue,340,Aristophanes Thucydides
ἐκκλησία,ekklēsia,ἐκκλησία,noun fem nom sg,assembly,ἡ ἐκκλησία βουλεύεται,Popular assembly,420,Thucydides Aristophanes
βουλή,boulē,βουλή,noun fem nom sg,council,ἡ βουλὴ βουλεύεται,Advisory body,480,Herodotus Thucydides
ἀγορά,agora,ἀγορά,noun fem nom sg,marketplace,ἡ ἀγορὰ πωλεῖ,Commercial center,580,Homer.Il Thucydides
δῆμος,dēmos,δῆμος,noun masc nom sg,people/district,ὁ δῆμος κρατεῖ,Popular body,620,Herodotus Thucydides
φυλή,phylē,φυλή,noun fem nom sg,tribe,ἡ φυλὴ συγγενής,Kinship group,420,Herodotus Thucydides
δημότης,dēmotēs,δημότης,noun masc nom sg,tribesman,ὁ δημότης πολίτης,Tribe member,280,Aristophanes
μέτοικος,metoikos,μέτοικος,noun masc nom sg,resident alien,ὁ μέτοικος οἰκεῖ,Foreign resident,240,Thucydides Aristophanes
δοῦλος,doulos,δοῦλος,noun masc nom sg,slave,ὁ δοῦλος δουλεύει,Unfree person,580,Homer.Il Aristophanes
ἐλεύθερος,eleutheros,ἐλεύθερος,adj masc nom sg,free,ἐλεύθερος ἀνήρ,Not enslaved,620,Homer.Il Thucydides
δεσπότης,despotēs,despotēs,δεσπότης,noun masc nom sg,master,ὁ δεσπότης κυριεύει,Household head,420,Homer.Il Aristophanes
οἰκοδεσπότης,oikodespotēs,οἰκοδεσπότης,noun masc nom sg,householder,ὁ οἰκοδεσπότης οἰκεῖ,House master,280,Aristophanes
οἰκία,oikia,οἰκία,noun fem nom sg,house,ἡ οἰκία μεγάλη,Dwelling place,520,Homer.Il Thucydides
γένος,genos,γένος,noun neut nom sg,race/family,τὸ γένος εὐγενές,Lineage group,580,Homer.Il Plato
πάτριος,patrios,πάτριος,adj masc nom sg,ancestral,πάτριος νόμος,From ancestors,380,Herodotus Plato
ξένος,xenos,ξένος,noun masc nom sg,stranger/guest,ὁ ξένος ἥκει,Foreign visitor,620,Homer.Il Herodotus
φιλοξενία,philoxenia,φιλοξενία,noun fem nom sg,hospitality,ἡ φιλοξενία καλή,Guest friendship,280,Homer.Il Plato
ἀργύριον,argyrion,ἀργύριον,noun neut nom sg,silver/money,τὸ ἀργύριον λευκόν,Precious metal currency,480,Herodotus Aristophanes
χρυσός,chrysos,χρυσός,noun masc nom sg,gold,ὁ χρυσὸς λάμπει,Precious metal,520,Homer.Il Herodotus
νόμισμα,nomisma,νόμισμα,noun neut nom sg,coin/currency,τὸ νόμισμα στρογγύλον,Monetary unit,320,Aristophanes Aristotle
τιμή,timē,τιμή,noun fem nom sg,price/honor,ἡ τιμὴ μεγάλη,Value or esteem,680,Homer.Il Thucydides
ὠνή,ōnē,ὠνή,noun fem nom sg,purchase,ἡ ὠνὴ καλή,Buying transaction,240,Aristophanes
πρᾶσις,prasis,πρᾶσις,noun fem nom sg,sale,ἡ πρᾶσις ἀγαθή,Selling transaction,220,Aristophanes
κέρδος,kerdos,κέρδος,noun neut nom sg,profit/gain,τὸ κέρδος μέγα,Financial benefit,380,Herodotus Aristophanes
ζημία,zēmia,ζημία,noun fem nom sg,loss/penalty,ἡ ζημία κακή,Financial damage,320,Thucydides Aristophanes
πλοῦτος,ploutos,πλοῦτος,noun masc nom sg,wealth,ὁ πλοῦτος πολύς,Material riches,520,Herodotus Aristophanes
πενία,penia,πενία,noun fem nom sg,poverty,ἡ πενία χαλεπή,Material lack,380,Aristophanes Plato
χρέος,chreos,χρέος,noun neut nom sg,debt,τὸ χρέος βαρύ,Financial obligation,340,Thucydides Aristophanes
δάνειον,daneion,δάνειον,noun neut nom sg,loan,τὸ δάνειον χρήσιμον,Borrowed money,240,Aristophanes
τόκος,tokos,τόκος,noun masc nom sg,interest/offspring,ὁ τόκος μέγας,Financial return,280,Aristophanes Aristotle
ἐργασία,ergasia,ἐργασία,noun fem nom sg,work/labor,ἡ ἐργασία χαλεπή,Productive activity,420,Xenophon Plato
μισθός,misthos,μισθός,noun masc nom sg,wage/pay,ὁ μισθὸς ἀρκεῖ,Work compensation,480,Thucydides Aristophanes
ἐργάτης,ergatēs,ἐργάτης,noun masc nom sg,worker,ὁ ἐργάτης ἐργάζεται,Laboring person,340,Aristophanes Plato
συμβόλαιον,symbolaion,συμβόλαιον,noun neut nom sg,contract,τὸ συμβόλαιον γράφεται,Legal agreement,180,Aristophanes
ἐγγύη,eggyē,ἐγγύη,noun fem nom sg,pledge/surety,ἡ ἐγγύη ἀσφαλής,Security guarantee,240,Aristophanes
κληρονομία,klēronomia,κληρονομία,noun fem nom sg,inheritance,ἡ κληρονομία πατρῴα,Inherited property,280,Aristophanes Plato
διαθήκη,diathēkē,διαθήκη,noun fem nom sg,will/testament,ἡ διαθήκη γράφεται,Legal document,220,Aristophanes
κτῆμα,ktēma,κτῆμα,noun neut nom sg,possession,τὸ κτῆμα ἴδιον,Owned property,380,Thucydides Plato
γῆ,gē,γῆ,noun fem nom sg,earth/land,ἡ γῆ φέρει,Terrestrial domain,820,Homer.Il Herodotus
ἀγρός,agros,ἀγρός,noun masc nom sg,field,ὁ ἀγρὸς καρποφόρος,Agricultural land,480,Homer.Il Xenophon
ἀήρ,aēr,ἀήρ,noun masc nom sg,air,ὁ ἀὴρ καθαρός,Atmospheric element,420,Homer.Il Aristotle
πνεῦμα,pneuma,πνεῦμα,noun neut nom sg,wind/breath,τὸ πνεῦμα φυσᾷ,Moving air,540,Homer.Il Aristotle
ἄνεμος,anemos,ἄνεμος,noun masc nom sg,wind,ὁ ἄνεμος ἰσχυρός,Air current,520,Homer.Il Aristotle
αὔρα,aura,αὔρα,noun fem nom sg,breeze,ἡ αὔρα ἡδεῖα,Gentle wind,280,Homer.Il Aristophanes
νέφος,nephos,νέφος,noun neut nom sg,cloud,τὸ νέφος σκοτεινόν,Sky formation,380,Homer.Il Aristotle
ὄμβρος,ombros,ὄμβρος,noun masc nom sg,rain,ὁ ὄμβρος πίπτει,Falling water,340,Homer.Il Aristotle
ὕδωρ,hydōr,ὕδωρ,noun neut nom sg,water,τὸ ὕδωρ ῥεῖ,Liquid element,740,Homer.Il Aristotle
ὑετός,hyetos,ὑετός,noun masc nom sg,rainfall,ὁ ὑετὸς πολύς,Seasonal precipitation,260,Hesiod Aristotle
χιών,chiōn,χιών,noun fem nom sg,snow,ἡ χιὼν λευκή,Frozen precipitation,280,Homer.Il Aristotle
κρύσταλλος,krystallos,κρύσταλλος,noun masc nom sg,ice/crystal,ὁ κρύσταλλος ψυχρός,Frozen water,180,Aristotle
χάλαζα,chalaza,χάλαζα,noun fem nom sg,hail,ἡ χάλαζα βλάπτει,Frozen rain,160,Aristotle
βροντή,brontē,βροντή,noun fem nom sg,thunder,ἡ βροντὴ φοβερά,Sky sound,280,Homer.Il Aristotle
ἀστραπή,astrapē,ἀστραπή,noun fem nom sg,lightning,ἡ ἀστραπὴ λάμπει,Sky flash,260,Homer.Il Aristotle
ἶρις,iris,ἶρις,noun fem nom sg,rainbow,ἡ ἶρις ποικίλη,Colorful arc,200,Homer.Il Aristotle
ὁμίχλη,omichlē,ὁμίχλη,noun fem nom sg,mist/fog,ἡ ὁμίχλη καλύπτει,Thick vapor,180,Homer.Il Aristotle
ἀχλύς,achlys,ἀχλύς,noun fem nom sg,mist/darkness,ἡ ἀχλὺς σκοτεινή,Obscuring vapor,220,Homer.Il
καῦμα,kauma,καῦμα,noun neut nom sg,heat/burning,τὸ καῦμα ἰσχυρόν,Intense warmth,240,Herodotus Aristotle
ψῦχος,psychos,ψῦχος,noun neut nom sg,cold,τὸ ψῦχος δυσχερές,Low temperature,320,Aristotle Xenophon
κρύος,kryos,κρύος,noun neut nom sg,frost,τὸ κρύος παγετῶδες,Freezing cold,180,Aristotle
ἡλιος,hēlios,ἥλιος,noun masc nom sg,sun,ὁ ἥλιος λάμπει,Solar body,620,Homer.Il Aristotle
σελήνη,selēnē,σελήνη,noun fem nom sg,moon,ἡ σελήνη φαίνεται,Lunar body,380,Homer.Il Aristotle
ἠώς,ēōs,ἠώς,noun fem nom sg,dawn,ἡ ἠὼς ῥοδοδάκτυλος,Morning light,420,Homer.Il
ἑσπέρα,hespera,ἑσπέρα,noun fem nom sg,evening,ἡ ἑσπέρα ἡδεῖα,Evening time,320,Homer.Il Aristophanes
σῖτος,sitos,σῖτος,noun masc nom sg,grain/food,ὁ σῖτος τρέφει,Cereal grain,580,Homer.Il Herodotus
πυρός,pyros,πυρός,noun masc nom sg,wheat,ὁ πυρὸς καλός,Bread grain,380,Herodotus Theophrastus
κριθή,krithē,κριθή,noun fem nom sg,barley,ἡ κριθὴ φέρει,Feed grain,340,Homer.Il Theophrastus
ὄρυζα,oryza,ὄρυζα,noun fem nom sg,rice,ἡ ὄρυζα ἀσιατική,Asian grain,120,Theophrastus
ἄρτος,artos,ἄρτος,noun masc nom sg,bread,ὁ ἄρτος νόστιμος,Baked food,480,Homer.Il Aristophanes
μάζα,maza,μάζα,noun fem nom sg,barley cake,ἡ μάζα τραχεῖα,Simple bread,280,Aristophanes
πλακοῦς,plakous,πλακοῦς,noun masc nom sg,flat cake,ὁ πλακοῦς γλυκύς,Sweet bread,180,Aristophanes
μέλι,meli,μέλι,noun neut nom sg,honey,τὸ μέλι ἡδύ,Bee product,420,Homer.Il Aristophanes
γάλα,gala,γάλα,noun neut nom sg,milk,τὸ γάλα λευκόν,Animal secretion,380,Homer.Il Aristotle
τυρός,tyros,τυρός,noun masc nom sg,cheese,ὁ τυρὸς στερεός,Dairy product,320,Homer.Od Aristophanes
βούτυρον,boutyron,βούτυρον,noun neut nom sg,butter,τὸ βούτυρον παχύ,Churned fat,160,Herodotus
ἔλαιον,elaion,ἔλαιον,noun neut nom sg,olive oil,τὸ ἔλαιον χρήσιμον,Pressed oil,420,Homer.Il Aristophanes
ἐλαία,elaia,ἐλαία,noun fem nom sg,olive tree,ἡ ἐλαία καρποφόρος,Oil-bearing tree,380,Homer.Il Theophrastus
κρέας,kreas,κρέας,noun neut nom sg,meat,τὸ κρέας νόστιμον,Animal flesh,460,Homer.Il Aristophanes
ἰχθύς,ichthys,ἰχθύς,noun masc nom sg,fish,ὁ ἰχθὺς νηκτός,Aquatic animal,420,Homer.Il Aristophanes
ὄρνις,ornis,ὄρνις,noun masc nom sg,bird,ὁ ὄρνις πέτεται,Flying animal,380,Homer.Il Aristophanes
ᾠόν,ōion,ᾠόν,noun neut nom sg,egg,τὸ ᾠὸν στρογγύλον,Bird product,280,Aristophanes Aristotle
οἶνος,oinos,οἶνος,noun masc nom sg,wine,ὁ οἶνος ἡδύς,Fermented grape juice,680,Homer.Il Aristophanes
ἄμπελος,ampelos,ἄμπελος,noun fem nom sg,vine,ἡ ἄμπελος καρποφόρος,Grape-bearing plant,340,Homer.Il Theophrastus
βότρυς,botrys,βότρυς,noun masc nom sg,grape cluster,ὁ βότρυς γλυκύς,Grape bunch,240,Aristophanes
σταφυλή,staphylē,σταφυλή,noun fem nom sg,grape,ἡ σταφυλὴ ὡραία,Individual grape,220,Theophrastus
ζῦθος,zythos,ζῦθος,noun masc nom sg,beer,ὁ ζῦθος αἰγυπτιακός,Grain beverage,180,Herodotus
μέθυ,methy,μέθυ,noun neut nom sg,strong drink,τὸ μέθυ κραιπαλῶδες,Intoxicating liquor,260,Homer.Il
ἱμάτιον,himation,ἱμάτιον,noun neut nom sg,cloak,τὸ ἱμάτιον θερμαίνει,Outer garment,420,Homer.Il Aristophanes
χιτών,chitōn,χιτών,noun masc nom sg,tunic,ὁ χιτὼν λεπτός,Inner garment,480,Homer.Il Aristophanes
πέπλος,peplos,πέπλος,noun masc nom sg,robe,ὁ πέπλος καλός,Female garment,320,Homer.Il Euripides
φᾶρος,pharos,φᾶρος,noun neut nom sg,mantle,τὸ φᾶρος βαρύ,Heavy cloak,240,Homer.Il
χλαμύς,chlamys,χλαμύς,noun fem nom sg,military cloak,ἡ χλαμὺς στρατιωτική,Soldier's wrap,220,Xenophon
ἐσθής,esthēs,ἐσθής,noun fem nom sg,clothing,ἡ ἐσθὴς καλή,General garment,380,Homer.Il Aristophanes
ὑπόδημα,hypodēma,ὑπόδημα,noun neut nom sg,shoe,τὸ ὑπόδημα δερμάτινον,Foot covering,280,Aristophanes
σανδάλιον,sandalion,σανδάλιον,noun neut nom sg,sandal,τὸ σανδάλιον λεπτόν,Light footwear,180,Aristophanes
κόθορνος,kothornos,κόθορνος,noun masc nom sg,buskin,ὁ κόθορνος ὑψηλός,High boot,140,Aristophanes
κρήδεμνον,krēdemnon,κρήδεμνον,noun neut nom sg,veil,τὸ κρήδεμνον λεπτόν,Head covering,180,Homer.Il
στέφανος,stephanos,στέφανος,noun masc nom sg,crown/wreath,ὁ στέφανος καλός,Head ornament,340,Homer.Il Aristophanes
δακτύλιος,daktylios,δακτύλιος,noun masc nom sg,ring,ὁ δακτύλιος χρυσοῦς,Finger ornament,240,Herodotus Aristophanes
περιδέραιον,perideraion,περιδέραιον,noun neut nom sg,necklace,τὸ περιδέραιον καλόν,Neck ornament,140,Aristophanes
ψέλιον,pselion,ψέλιον,noun neut nom sg,bracelet,τὸ ψέλιον χρυσοῦν,Arm ornament,120,Aristophanes
ἐνώτιον,enōtion,ἐνώτιον,noun neut nom sg,earring,τὸ ἐνώτιον λάμπει,Ear ornament,100,Aristophanes
λίνον,linon,λίνον,noun neut nom sg,linen/flax,τὸ λίνον λευκόν,Plant fiber,320,Homer.Il Herodotus
μαλλός,mallos,μαλλός,noun masc nom sg,wool,ὁ μαλλὸς μαλακός,Animal fiber,280,Homer.Il Aristophanes
ὕφασμα,hyphasma,ὕφασμα,noun neut nom sg,woven fabric,τὸ ὕφασμα λεπτόν,Textile material,240,Homer.Il
ἱστός,histos,ἱστός,noun masc nom sg,loom,ὁ ἱστὸς ὑφαίνει,Weaving device,320,Homer.Il Aristophanes
κερκίς,kerkis,κερκίς,noun fem nom sg,shuttle,ἡ κερκὶς τρέχει,Weaving tool,180,Homer.Il
κλωστήρ,klōstēr,κλωστήρ,noun masc nom sg,spindle,ὁ κλωστὴρ στρέφεται,Spinning tool,160,Homer.Il
ἠλακάτη,ēlakatē,ἠλακάτη,noun fem nom sg,distaff,ἡ ἠλακάτη φέρει,Spinning rod,140,Homer.Il
βέλονη,belonē,βέλονη,noun fem nom sg,needle,ἡ βέλονη ὀξεῖα,Sewing tool,180,Aristophanes
σφυρίον,sphyrion,σφυρίον,noun neut nom sg,hammer,τὸ σφυρίον βαρύ,Striking tool,240,Homer.Il Aristophanes
ἄκμων,akmōn,ἄκμων,noun masc nom sg,anvil,ὁ ἄκμων στερεός,Metal-working surface,180,Homer.Il
τύπανον,tympanon,τύπανον,noun neut nom sg,drum/hammer,τὸ τύπανον κρούει,Percussion tool,200,Aristophanes
σκέπαρνον,skeparnon,σκέπαρνον,noun neut nom sg,adze,τὸ σκέπαρνον ξυαίνει,Woodworking tool,120,Homer.Il
πέλεκυς,pelekys,πέλεκυς,noun masc nom sg,axe,ὁ πέλεκυς κόπτει,Cutting tool,280,Homer.Il Aristophanes
δρέπανον,drepanon,δρέπανον,noun neut nom sg,sickle,τὸ δρέπανον θερίζει,Harvesting tool,240,Homer.Il Aristophanes
ἅρπη,harpē,ἅρπη,noun fem nom sg,pruning hook,ἡ ἅρπη κλαδεύει,Pruning tool,180,Theophrastus
σκαπάνη,skapanē,σκαπάνη,noun fem nom sg,hoe,ἡ σκαπάνη σκάπτει,Digging tool,200,Aristophanes
δίκελλα,dikella,δίκελλα,noun fem nom sg,mattock,ἡ δίκελλα χαλκῆ,Two-pronged hoe,140,Theophrastus
ἄροτρον,arotron,ἄροτρον,noun neut nom sg,plow,τὸ ἄροτρον ἀροῖ,Farming implement,320,Hesiod Aristophanes
ὑνίς,hynis,ὑνίς,noun fem nom sg,plowshare,ἡ ὑνὶς ὀξεῖα,Plow blade,160,Hesiod
κέντρον,kentron,κέντρον,noun neut nom sg,goad,τὸ κέντρον κεντεῖ,Driving stick,240,Homer.Il Aristophanes
